 Cu crystal, 4 shells                                     Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.289 Rnm= 1.427 K shell
 Pot 1 Z=29 Rmt= 1.275 Rnm= 1.399
 Gam_ch=1.761E+00 H-L exch
 Mu=-5.493E+00 kf=1.793E+00 Vint=-1.774E+01 Rs_int= 2.023
 Path    2      icalc       2                             Feff 6.01l genfmt 1.44
 -------------------------------------------------------------------------------
   2   6.000   3.6100    2.6440   -5.49271 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  29          absorbing atom
     0.0000    0.0000   -3.6100  1  29       
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  3.5221E+00  0.0000E+00 -1.9909E+00  0.9860E+00  1.5524E+01  1.7940E+00
  0.200  3.5243E+00  8.7168E-02 -3.3624E+00  0.9865E+00  1.5614E+01  1.8047E+00
  0.400  3.5307E+00  1.6624E-01 -4.5931E+00  0.9880E+00  1.5852E+01  1.8364E+00
  0.600  3.5396E+00  2.3272E-01 -5.6922E+00  0.9906E+00  1.6149E+01  1.8881E+00
  0.800  3.5489E+00  2.8614E-01 -6.6702E+00  0.9946E+00  1.6372E+01  1.9584E+00
  1.000  3.5551E+00  3.2790E-01 -7.5353E+00  0.1000E+01  1.6385E+01  2.0460E+00
  1.200  3.5541E+00  3.5922E-01 -8.2937E+00  0.1008E+01  1.6104E+01  2.1497E+00
  1.400  3.5409E+00  3.8028E-01 -8.9494E+00  0.1019E+01  1.5535E+01  2.2685E+00
  1.600  3.5105E+00  3.9032E-01 -9.5037E+00  0.1031E+01  1.4784E+01  2.4020E+00
  1.800  3.4577E+00  3.8814E-01 -9.9549E+00  0.1044E+01  1.4017E+01  2.5500E+00
  2.000  3.3781E+00  3.7278E-01 -1.0298E+01  0.1054E+01  1.3417E+01  2.7128E+00
  2.200  3.0569E+00  3.0804E-01 -1.0085E+01  0.1053E+01  1.3506E+01  2.9674E+00
  2.400  3.1624E+00  3.2870E-01 -1.0722E+01  0.1240E+01  7.3853E+00  3.0785E+00
  2.600  3.1827E+00  3.1867E-01 -1.1197E+01  0.1309E+01  6.0822E+00  3.2099E+00
  2.800  3.1766E+00  2.9115E-01 -1.1581E+01  0.1330E+01  5.5792E+00  3.3492E+00
  3.000  3.1354E+00  2.5891E-01 -1.1839E+01  0.1323E+01  5.3778E+00  3.4958E+00
  3.200  3.0736E+00  2.2306E-01 -1.1976E+01  0.1306E+01  5.3287E+00  3.6489E+00
  3.400  3.0058E+00  2.0441E-01 -1.1980E+01  0.1282E+01  5.3706E+00  3.8076E+00
  3.600  2.9211E+00  2.0892E-01 -1.1892E+01  0.1256E+01  5.4731E+00  3.9715E+00
  3.800  2.8375E+00  2.4178E-01 -1.1826E+01  0.1229E+01  5.6194E+00  4.1397E+00
  4.000  2.7420E+00  2.9081E-01 -1.1818E+01  0.1204E+01  5.7992E+00  4.3116E+00
  4.200  2.6523E+00  3.4540E-01 -1.1856E+01  0.1178E+01  6.0058E+00  4.4868E+00
  4.400  2.5479E+00  4.0411E-01 -1.1922E+01  0.1155E+01  6.2347E+00  4.6649E+00
  4.600  2.4499E+00  4.5968E-01 -1.2002E+01  0.1133E+01  6.4825E+00  4.8454E+00
  4.800  2.3543E+00  5.1256E-01 -1.2081E+01  0.1113E+01  6.7469E+00  5.0280E+00
  5.000  2.2578E+00  5.5750E-01 -1.2165E+01  0.1094E+01  7.0260E+00  5.2125E+00
  5.200  2.1569E+00  5.9982E-01 -1.2245E+01  0.1077E+01  7.3184E+00  5.3985E+00
  5.400  2.0604E+00  6.3796E-01 -1.2319E+01  0.1063E+01  7.6231E+00  5.5860E+00
  5.600  1.9615E+00  6.6907E-01 -1.2394E+01  0.1048E+01  7.9389E+00  5.7746E+00
  5.800  1.8680E+00  6.9875E-01 -1.2462E+01  0.1036E+01  8.2654E+00  5.9644E+00
  6.000  1.7714E+00  7.2252E-01 -1.2527E+01  0.1025E+01  8.6017E+00  6.1550E+00
  6.500  1.5359E+00  7.6092E-01 -1.2678E+01  0.1002E+01  9.4825E+00  6.6352E+00
  7.000  1.3073E+00  7.7134E-01 -1.2813E+01  0.9843E+00  1.0416E+01  7.1192E+00
  7.500  1.0893E+00  7.5742E-01 -1.2938E+01  0.9694E+00  1.1397E+01  7.6061E+00
  8.000  8.8382E-01  7.2740E-01 -1.3055E+01  0.9565E+00  1.2422E+01  8.0952E+00
  8.500  6.8950E-01  6.8829E-01 -1.3163E+01  0.9456E+00  1.3489E+01  8.5862E+00
  9.000  5.0373E-01  6.4240E-01 -1.3269E+01  0.9368E+00  1.4595E+01  9.0785E+00
  9.500  3.2768E-01  5.9276E-01 -1.3377E+01  0.9292E+00  1.5739E+01  9.5719E+00
 10.000  1.5323E-01  5.4277E-01 -1.3489E+01  0.9211E+00  1.6919E+01  1.0066E+01
 11.000 -1.7458E-01  4.5206E-01 -1.3711E+01  0.9045E+00  1.9382E+01  1.1057E+01
 12.000 -4.7911E-01  3.7467E-01 -1.3930E+01  0.8926E+00  2.1974E+01  1.2050E+01
 13.000 -7.6274E-01  3.1220E-01 -1.4156E+01  0.8869E+00  2.4688E+01  1.3044E+01
 14.000 -1.0214E+00  2.6175E-01 -1.4365E+01  0.8820E+00  2.7517E+01  1.4039E+01
 15.000 -1.2620E+00  2.2095E-01 -1.4583E+01  0.8790E+00  3.0456E+01  1.5036E+01
 16.000 -1.4864E+00  1.8896E-01 -1.4783E+01  0.8783E+00  3.3499E+01  1.6032E+01
 17.000 -1.6920E+00  1.6148E-01 -1.4982E+01  0.8766E+00  3.6643E+01  1.7030E+01
 18.000 -1.8866E+00  1.4113E-01 -1.5182E+01  0.8763E+00  3.9882E+01  1.8027E+01
 19.000 -2.0662E+00  1.2249E-01 -1.5350E+01  0.8760E+00  4.3213E+01  1.9025E+01
 20.000 -2.2311E+00  1.1094E-01 -1.5559E+01  0.8745E+00  4.6633E+01  2.0024E+01
